seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr18	60748199	60748510	312	*	X380	15531	60684494	60748650	64157	-	0	inside	139	Ndst1
chr18	67610582	67610912	331	*	X383	68166	67488209	67610790	122582	-	0	overlapStart	0	Spire1
chr18	73572966	73573474	509	*	X386	240396	73573044	73592575	19532	+	0	overlapStart	0	Mex3c
chr18	79109556	79109951	396	*	X388	240427	78750380	79109391	359012	-	164	upstream	164	Setbp1
chr18	80986451	80987479	1029	*	X389	20689	80966376	80986771	20396	-	0	overlapStart	0	Sall3
chr18	82692432	82692944	513	*	X390	329002	82593593	82692883	99291	-	0	overlapStart	0	Zfp236
chr19	3686264	3686748	485	*	X393	16973	3584828	3686564	101737	-	0	overlapStart	0	Lrp5
chr19	4614792	4615490	699	*	X397	225875	4611785	4615667	3883	-	0	inside	176	Lrfn4
chr19	5424712	5425001	290	*	X398	107242	5425144	5427313	2170	+	142	upstream	142	AI837181
chr19	5424712	5425001	290	*	X398	66556	5422805	5424979	2175	-	0	overlapStart	0	Drap1
chr19	5425177	5425401	225	*	X399	107242	5425144	5427313	2170	+	0	inside	32	AI837181
chr19	5425177	5425401	225	*	X399	66556	5422805	5424979	2175	-	197	upstream	197	Drap1
chr19	5567782	5568193	412	*	X400	381201	5568025	5571261	3237	+	0	overlapStart	0	Ap5b1
chr19	6921447	6921784	338	*	X401	26379	6910977	6921813	10837	-	0	inside	28	Esrra
chr19	7056789	7057111	323	*	X402	107227	7056810	7198057	141248	+	0	overlapStart	0	Macrod1
chr19	7417687	7418086	400	*	X404	108899	7417625	7425904	8280	+	0	inside	61	Zfta
chr19	16132355	16133673	1319	*	X406	14682	16132831	16387463	254633	+	0	overlapStart	0	Gnaq
chr19	18670893	18671289	397	*	X408	67383	18670764	18707200	36437	+	0	inside	128	Carnmt1
chr19	18713186	18713488	303	*	X409	225995	18713193	18718428	5236	+	0	overlapStart	0	D030056L22Rik
chr19	21272556	21272942	387	*	X410	22682	21272278	21286840	14563	+	0	inside	277	Zfand5
chr19	23758509	23759068	560	*	X411	319924	23758887	23949596	190710	+	0	overlapStart	0	Apba1
chr19	24555777	24556319	543	*	X412	18719	24294794	24555872	261079	-	0	overlapStart	0	Pip5k1b
chr19	24999205	24999746	542	*	X413	76088	24999534	25202432	202899	+	0	overlapStart	0	Dock8
chr19	29251440	29252041	602	*	X415	16452	29251828	29313080	61253	+	0	overlapStart	0	Jak2
chr19	29522106	29522635	530	*	X417	226089	29522282	29606829	84548	+	0	overlapStart	0	Ric1
chr19	29805781	29806287	507	*	X418	240613	29714402	29805989	91588	-	0	overlapStart	0	9930021J03Rik
chr19	30030491	30031039	549	*	X419	109113	30030513	30093722	63210	+	0	overlapStart	0	Uhrf2
chr19	36348291	36348873	583	*	X421	76073	36348309	36460970	112662	+	0	overlapStart	0	Pcgf5
chr19	37207541	37207850	310	*	X422	69104	37207543	37222151	14609	+	0	overlapStart	0	Marchf5
chr19	40831095	40831604	510	*	X424	240665	40831279	40848572	17294	+	0	overlapStart	0	Ccnj
chr19	41482450	41482508	59	*	X425	212391	41482637	41586536	103900	+	128	upstream	128	Lcor
chr19	41482586	41483373	788	*	X426	212391	41482637	41586536	103900	+	0	overlapStart	0	Lcor
chr19	41829954	41830580	627	*	X427	14296	41829970	41832583	2614	+	0	overlapStart	0	Frat1
chr19	41847445	41848168	724	*	X428	212398	41845972	41848132	2161	-	0	overlapStart	0	Frat2
chr19	42090527	42090868	342	*	X429	84095	42090470	42122087	31618	+	0	inside	56	Pi4k2a
chr19	46044782	46045146	365	*	X432	16825	46031570	46045214	13645	-	0	inside	67	Ldb1
chr19	46044782	46045146	365	*	X432	226169	46044886	46072915	28030	+	0	overlapStart	0	Pprc1
chr19	47178802	47179178	377	*	X434	18011	47178820	47259441	80622	+	0	overlapStart	0	Neurl1a
chr19	47464272	47464660	389	*	X435	14218	47260174	47464401	204228	-	0	overlapStart	0	Sh3pxd2a
chr19	47579595	47580073	479	*	X436	20874	47579678	47645246	65569	+	0	overlapStart	0	Slk
chr19	47579475	47579525	51	*	X437	20874	47579678	47645246	65569	+	152	upstream	152	Slk
chr19	53310562	53310992	431	*	X438	17859	53310518	53375810	65293	+	0	inside	43	Mxi1
chr19	53945021	53945419	399	*	X442	100503572	53929861	53944627	14767	-	393	upstream	393	Bbip1
chr19	57361051	57361345	295	*	X445	320879	57323193	57360775	37583	-	275	upstream	275	B230217O12Rik
chr19	57360789	57360802	14	*	X446	226252	57360680	57389586	28907	+	0	inside	108	Fam160b1
chr19	57360789	57360802	14	*	X446	320879	57323193	57360775	37583	-	13	upstream	13	B230217O12Rik
chr19	59345664	59346119	456	*	X448	107368	59297178	59345780	48603	-	0	overlapStart	0	Pdzd8
chr2	18056585	18056596	12	*	X452	102466840	18057846	18057903	58	+	1249	upstream	1249	Mir7655
chr2	18056853	18056902	50	*	X453	102466840	18057846	18057903	58	+	943	upstream	943	Mir7655
chr2	18676336	18676721	386	*	X454	12151	18677018	18686629	9612	+	296	upstream	296	Bmi1
chr2	18997998	18998350	353	*	X455	18718	18842255	18998126	155872	-	0	overlapStart	0	Pip4k2a
chr2	18997998	18998350	353	*	X455	74629	18998343	18999804	1462	+	0	overlapStart	0	4930426L09Rik
chr2	20968584	20969030	447	*	X456	433408	20969054	20969997	944	+	23	upstream	23	Gm13375
chr2	20968584	20969030	447	*	X456	71435	20847919	20968881	120963	-	0	overlapStart	0	Arhgap21
chr2	24949703	24950023	321	*	X457	67187	24949792	24962075	12284	+	0	overlapStart	0	Zmynd19
chr2	25242062	25242415	354	*	X458	67859	25238818	25242452	3635	-	0	inside	36	Cysrt1
chr2	25242062	25242415	354	*	X458	68846	25242929	25244261	1333	+	513	upstream	513	Rnf208
chr2	25982826	25983271	446	*	X459	227634	25926838	25983282	56445	-	0	inside	10	Camsap1
chr2	26122434	26122835	402	*	X460	67991	26055535	26122818	67284	-	0	overlapStart	0	Nacc2
chr2	32151089	32151512	424	*	X464	227723	32151082	32234537	83456	+	0	inside	6	Prrc2b
chr2	32712643	32713082	440	*	X465	100499514	32712807	32712888	82	-	0	includeFeature	0	Mir2861
chr2	32712643	32713082	440	*	X465	100628606	32712900	32712972	73	-	0	includeFeature	0	Mir3960
chr2	32712643	32713082	440	*	X465	107951	32705784	32713076	7293	-	0	overlapStart	0	Cdk9
chr2	37703465	37703672	208	*	X470	20744	37483228	37703859	220632	-	0	inside	186	Strbp
chr2	44927355	44927458	104	*	X473	227835	44564412	44927657	363246	-	0	inside	198	Gtdc1
chr2	70825448	70825751	304	*	X477	228012	70712407	70825728	113322	-	0	overlapStart	0	Tlk1
chr2	72979690	72979697	8	*	X479	100503849	72979424	72988677	9254	+	0	inside	265	Sp3os
chr2	72979762	72980189	428	*	X480	20687	72936427	72980446	44020	-	0	inside	256	Sp3
chr2	73774988	73775309	322	*	X482	108699	73610660	73775346	164687	-	0	inside	36	Chn1
chr2	80580957	80581329	373	*	X484	50884	80500512	80581380	80869	-	0	inside	50	Nckap1
chr2	90580217	90580610	394	*	X485	19271	90429754	90580647	150894	-	0	inside	36	Ptprj
chr2	93334366	93334518	153	*	X490	241556	93201760	93334505	132746	-	0	overlapStart	0	Tspan18
chr2	104494324	104494526	203	*	X491	15259	104426481	104494446	67966	-	0	overlapStart	0	Hipk3
chr2	104494530	104494717	188	*	X492	15259	104426481	104494446	67966	-	83	upstream	83	Hipk3
chr2	109917714	109918248	535	*	X493	107515	109917647	110014257	96611	+	0	inside	66	Lgr4
chr2	112239635	112239948	314	*	X494	99010	112239468	112247111	7644	+	0	inside	166	Lpcat4
chr2	117121060	117121652	593	*	X495	114715	117121374	117182279	60906	+	0	overlapStart	0	Spred1
chr2	118745704	118746069	366	*	X496	100043272	118745758	118748810	3053	+	0	overlapStart	0	Inafm2
chr2	119742156	119742588	433	*	X498	228550	119742337	119751263	8927	+	0	overlapStart	0	Itpka
chr2	127336148	127336520	373	*	X499	13537	127336159	127338376	2218	+	0	overlapStart	0	Dusp2
chr2	129593014	129593527	514	*	X502	19261	129592835	129632228	39394	+	0	inside	178	Sirpa
chr2	130295128	130295541	414	*	X503	228598	130295169	130370481	75313	+	0	overlapStart	0	Ebf4
chr2	132144795	132145156	362	*	X504	54338	132052496	132145108	92613	-	0	overlapStart	0	Slc23a2
chr2	132846829	132847142	314	*	X505	66586	132846666	132866785	20120	+	0	inside	162	Crls1
chr2	144010678	144011029	352	*	X506	81910	143947395	144011263	63869	-	0	inside	233	Rrbp1
chr2	148864514	148864824	311	*	X508	77705	148846711	148865038	18328	-	0	inside	213	Cstdc2
chr2	152397816	152398302	487	*	X510	20667	152393611	152398063	4453	-	0	overlapStart	0	Sox12
chr2	153529638	153530586	949	*	X512	329540	153407462	153529971	122510	-	0	overlapStart	0	Nol4l
chr2	153649399	153649704	306	*	X513	13436	153649450	153687730	38281	+	0	overlapStart	0	Dnmt3b
chr2	154791230	154791727	498	*	X514	19383	154791096	154867261	76166	+	0	inside	133	Raly
chr2	154791230	154791727	498	*	X514	50518	154791402	155051012	259611	+	0	overlapStart	0	a
chr2	155276482	155276893	412	*	X515	66734	155276297	155278073	1777	+	0	inside	184	Map1lc3a
chr2	155473351	155473863	513	*	X516	56406	155390656	155473894	83239	-	0	inside	30	Ncoa6
chr2	155775548	155775905	358	*	X517	17391	155775342	155818366	43025	+	0	inside	205	Mmp24
chr2	156720864	156720909	46	*	X518	74846	156714540	156720909	6370	-	0	inside	0	4930405A21Rik
chr2	156720987	156721209	223	*	X519	74846	156714540	156720909	6370	-	77	upstream	77	4930405A21Rik
chr2	157079005	157079405	401	*	X520	320706	157015799	157079254	63456	-	0	overlapStart	0	Soga1
chr2	160367123	160367412	290	*	X521	16658	160363703	160367065	3363	-	57	upstream	57	Mafb
chr2	160731379	160731871	493	*	X522	18803	160731300	160775760	44461	+	0	inside	78	Plcg1
chr2	165234395	165234819	425	*	X523	104010	165111507	165234853	123347	-	0	inside	33	Cdh22
chr2	166713555	166713840	286	*	X524	277360	166566342	166713832	147491	-	0	overlapStart	0	Prex1
chr2	167189684	167189891	208	*	X525	16500	167095969	167190155	94187	-	0	inside	263	Kcnb1
chr2	167189966	167190458	493	*	X526	16500	167095969	167190155	94187	-	0	overlapStart	0	Kcnb1
chr2	167348698	167349213	516	*	X527	56336	167298444	167349183	50740	-	0	overlapStart	0	B4galt5
chr2	167688725	167690091	1367	*	X529	12608	167688915	167690418	1504	+	0	overlapStart	0	Cebpb
chr2	167688725	167690091	1367	*	X529	329562	167691177	167729172	37996	+	1085	upstream	1085	A530013C23Rik
chr2	167688725	167690091	1367	*	X529	407243	167642608	167689822	47215	-	0	overlapStart	0	Tmem189
chr2	168080900	168081387	488	*	X530	58220	168081004	168101203	20200	+	0	overlapStart	0	Pard6b
chr2	168206591	168206937	347	*	X531	11538	168180986	168207112	26127	-	0	inside	174	Adnp
chr2	174110187	174110876	690	*	X534	228961	174110349	174123070	12722	+	0	overlapStart	0	Npepl1
chr2	179976120	179976708	589	*	X538	228980	179912152	179976646	64495	-	0	overlapStart	0	Taf4
chr2	179976120	179976708	589	*	X538	66730	179975993	179979013	3021	+	0	inside	126	4921531C22Rik
chr2	181287799	181287984	186	*	X539	229004	181251449	181288035	36587	-	0	inside	50	Gmeb2
chr2	181458962	181459469	508	*	X540	72147	181387762	181459426	71665	-	0	overlapStart	0	Zbtb46
chr2	181459623	181459757	135	*	X541	72147	181387762	181459426	71665	-	196	upstream	196	Zbtb46
chr3	9250771	9251325	555	*	X542	229055	9250602	9285333	34732	+	0	inside	168	Zbtb10
chr3	19311055	19311525	471	*	X543	18583	19223108	19311322	88215	-	0	overlapStart	0	Pde7a
chr3	22076811	22077319	509	*	X544	81004	22076652	22216594	139943	+	0	inside	158	Tbl1xr1
chr3	31094438	31094682	245	*	X546	20482	31095058	31122577	27520	+	375	upstream	375	Skil
chr3	31094835	31095274	440	*	X547	20482	31095058	31122577	27520	+	0	overlapStart	0	Skil
chr3	32616342	32616651	310	*	X548	14696	32580332	32616585	36254	-	0	overlapStart	0	Gnb4
chr3	35754097	35754545	449	*	X549	76295	35754134	35856276	102143	+	0	overlapStart	0	Atp11b
chr3	38484566	38484853	288	*	X551	99696	38449259	38484844	35586	-	0	overlapStart	0	Ankrd50
chr3	40949796	40950529	734	*	X552	214048	40949828	41012377	62550	+	0	overlapStart	0	Larp1b
chr3	51341274	51341625	352	*	X553	69257	51252720	51340663	87944	-	610	upstream	610	Elf2
chr3	68869630	68870100	471	*	X554	68725	68869586	68872163	2578	+	0	inside	43	1110032F04Rik
chr3	69722091	69722414	324	*	X555	97112	69721985	69756373	34389	+	0	inside	105	Nmd3
chr3	79286898	79287283	386	*	X556	76089	79062516	79286517	224002	-	380	upstream	380	Rapgef2
chr3	84814677	84814991	315	*	X557	50754	84815268	84979198	163931	+	276	upstream	276	Fbxw7
chr3	86224122	86224424	303	*	X558	80877	86224680	86782692	558013	+	255	upstream	255	Lrba
chr3	96594387	96594507	121	*	X559	69870	96577872	96594181	16310	-	205	upstream	205	Polr3gl
chr3	100685588	100685927	340	*	X561	17156	100562208	100685503	123296	-	84	upstream	84	Man1a2
chr3	107036104	107036618	515	*	X563	16491	107036169	107038070	1902	+	0	overlapStart	0	Kcna3
chr3	135438900	135439252	353	*	X568	319587	135436209	135438665	2457	-	234	upstream	234	4930539J05Rik
chr3	135691141	135691546	406	*	X569	18033	135584655	135691547	106893	-	0	inside	0	Nfkb1
chr3	136669982	136670496	515	*	X570	19055	136670124	136937727	267604	+	0	overlapStart	0	Ppp3ca
chr3	138742070	138742395	326	*	X572	56224	138742195	138907905	165711	+	0	overlapStart	0	Tspan5
chr4	8690442	8692028	1587	*	X575	320790	8690406	8867659	177254	+	0	inside	35	Chd7
chr4	11190794	11191154	361	*	X576	12448	11191351	11204779	13429	+	196	upstream	196	Ccne2
chr4	32238491	32239220	730	*	X577	12014	32238804	32586108	347305	+	0	overlapStart	0	Bach2
chr4	33031253	33031699	447	*	X578	100504166	33027142	33031323	4182	-	0	overlapStart	0	4933421O10Rik
chr4	33031253	33031699	447	*	X578	56228	33031416	33052363	20948	+	0	overlapStart	0	Ube2j1
chr4	43631355	43631714	360	*	X580	230103	43631935	43651244	19310	+	220	upstream	220	Npr2
chr4	44233582	44233937	356	*	X581	73469	44126210	44233789	107580	-	0	overlapStart	0	Rnf38
chr4	44234081	44234148	68	*	X582	73469	44126210	44233789	107580	-	291	upstream	291	Rnf38
chr4	45184613	45184958	346	*	X583	666060	45184875	45285936	101062	+	0	overlapStart	0	Frmpd1
chr4	46601793	46602120	328	*	X585	107684	46536937	46602202	65266	-	0	inside	81	Coro2a
chr4	48585175	48585597	423	*	X586	230157	48585174	48663131	77958	+	0	inside	0	Tmeff1
chr4	53440413	53440732	320	*	X587	100434	53440413	53622478	182066	+	0	inside	0	Slc44a1
chr4	55532203	55532555	353	*	X588	16600	55527143	55532466	5324	-	0	overlapStart	0	Klf4
chr4	57143036	57143621	586	*	X589	54357	56991972	57143437	151466	-	0	overlapStart	0	Epb41l4b
chr4	58911761	58912452	692	*	X590	230249	58798911	58912749	113839	-	0	inside	296	Ecpas
chr4	59189100	59189602	503	*	X591	22234	59189257	59222833	33577	+	0	overlapStart	0	Ugcg
chr4	83486125	83486516	392	*	X595	101739	83455680	83486459	30780	-	0	overlapStart	0	Psip1
chr4	101356240	101356609	370	*	X598	77866	101346531	101356248	9718	-	0	overlapStart	0	E130102H24Rik
chr4	105109635	105110074	440	*	X601	108079	105029874	105109890	80017	-	0	overlapStart	0	Prkaa2
chr4	106316072	106316671	600	*	X602	329908	106316213	106441322	125110	+	0	overlapStart	0	Usp24
chr4	107434363	107434793	431	*	X605	230587	107434591	107635061	200471	+	0	overlapStart	0	Glis1
chr4	107802153	107802490	338	*	X606	16975	107801869	107876840	74972	+	0	inside	283	Lrp8
chr4	114908308	114908964	657	*	X607	100040736	114909257	114921967	12711	+	292	upstream	292	Foxd2os
chr4	114908308	114908964	657	*	X607	17301	114906282	114908873	2592	-	0	overlapStart	0	Foxd2
chr4	116463772	116464126	355	*	X608	17776	116306762	116464183	157422	-	0	inside	56	Mast2
chr4	116877048	116877634	587	*	X609	74464	116877376	116989264	111889	+	0	overlapStart	0	Zswim5
chr4	119492394	119492710	317	*	X610	194237	119465283	119492628	27346	-	0	overlapStart	0	Rimkla
chr4	119539751	119540071	321	*	X611	433752	119530308	119539529	9222	-	221	upstream	221	Frg2f1
chr4	120287470	120287885	416	*	X612	329934	120267079	120287349	20271	-	120	upstream	120	Foxo6
chr4	123664397	123665058	662	*	X614	102633214	123665881	123671217	5337	+	822	upstream	822	Gm12925
chr4	127168918	127169844	927	*	X617	242667	127169204	127237022	67819	+	0	overlapStart	0	Dlgap3
chr4	128805869	128806316	448	*	X618	230761	128773088	128806045	32958	-	0	overlapStart	0	Zfp362
chr4	129136847	129136850	4	*	X620	384061	129136999	129144593	7595	+	148	upstream	148	Fndc5
chr4	129136999	129137157	159	*	X621	384061	129136999	129144593	7595	+	0	inside	0	Fndc5
chr4	129984826	129985071	246	*	X623	230775	129984870	130022633	37764	+	0	overlapStart	0	Adgrb2
chr4	130573744	130574208	465	*	X625	67149	130531602	130574173	42572	-	0	overlapStart	0	Nkain1
chr4	130792393	130792785	393	*	X626	20970	130792537	130826319	33783	+	0	overlapStart	0	Sdc3
chr4	134287346	134287748	403	*	X627	230809	134275002	134287895	12894	-	0	inside	146	Pdik1l
chr4	138216575	138216986	412	*	X632	15441	138216296	138244683	28388	+	0	inside	278	Hp1bp3
chr4	138454060	138454391	332	*	X633	66259	138454314	138460123	5810	+	0	overlapStart	0	Camk2n1
chr4	139075439	139075644	206	*	X635	15565	139061108	139075570	14463	-	0	overlapStart	0	Htr6
chr4	142238974	142239421	448	*	X637	71529	142102390	142239401	137012	-	0	overlapStart	0	Kazn
chr4	149307363	149307665	303	*	X638	16561	149176319	149307693	131375	-	0	inside	27	Kif1b
chr4	149586350	149586884	535	*	X639	65945	149586468	149648899	62432	+	0	overlapStart	0	Clstn1
chr4	151861476	151861801	326	*	X641	100072	150917322	151861876	944555	-	0	inside	74	Camta1
chr4	151933425	151933578	154	*	X642	230935	151933691	151982137	48447	+	112	upstream	112	Dnajc11
chr4	151933659	151934169	511	*	X643	230935	151933691	151982137	48447	+	0	overlapStart	0	Dnajc11
chr4	155491319	155491618	300	*	X646	14688	155491361	155559269	67909	+	0	overlapStart	0	Gnb1
chr4	155734846	155735196	351	*	X647	381582	155734800	155740564	5765	+	0	inside	45	Tmem240
chr4	156235991	156236343	353	*	X648	231003	156229044	156234857	5814	-	1133	upstream	1133	Klhl17
chr4	156235991	156236343	353	*	X648	57741	156235919	156247616	11698	+	0	inside	71	Noc2l
chr5	3928164	3928627	464	*	X649	100986	3928054	4081310	153257	+	0	inside	109	Akap9
chr5	24351200	24351769	570	*	X652	16511	24319589	24351604	32016	-	0	overlapStart	0	Kcnh2
chr5	24451976	24452431	456	*	X653	213990	24452177	24502047	49871	+	0	overlapStart	0	Agap3
chr5	25499026	25499660	635	*	X654	231051	25271798	25498783	226986	-	242	upstream	242	Kmt2c
chr5	30105087	30105482	396	*	X655	242915	30105161	30118378	13218	+	0	overlapStart	0	Garem2
chr5	33274731	33275069	339	*	X656	13016	33247723	33274994	27272	-	0	overlapStart	0	Ctbp1
chr5	33275175	33275175	1	*	X657	13016	33247723	33274994	27272	-	180	upstream	180	Ctbp1
chr5	33820144	33820573	430	*	X658	107823	33820725	33897975	77251	+	151	upstream	151	Nsd2
chr5	36695554	36695859	306	*	X659	320661	36584788	36696024	111237	-	0	inside	164	D5Ertd579e
chr5	37028168	37028679	512	*	X660	76071	37028335	37150607	122273	+	0	overlapStart	0	Jakmip1
chr5	43233113	43233504	392	*	X661	231207	43233170	43289724	56555	+	0	overlapStart	0	Cpeb2
chr5	43234017	43235067	1051	*	X662	665934	43151686	43235355	83670	-	0	inside	287	Gm7854
chr5	44226379	44226850	472	*	X663	231225	44175154	44226626	51473	-	0	overlapStart	0	Tapt1
chr5	52190019	52190321	303	*	X666	13204	52150203	52190514	40312	-	0	inside	192	Dhx15
chr5	52190019	52190321	303	*	X666	414108	52190672	52279034	88363	+	350	upstream	350	9230114K14Rik
chr5	53998485	53999074	590	*	X668	116873	53998499	54121057	122559	+	0	overlapStart	0	Stim2
chr5	65697769	65698305	537	*	X669	71521	65605721	65698273	92553	-	0	overlapStart	0	Pds5a
chr5	67847608	67847621	14	*	X671	11980	67618140	67847434	229295	-	173	upstream	173	Atp8a1
chr5	67847285	67847463	179	*	X672	11980	67618140	67847434	229295	-	0	overlapStart	0	Atp8a1
chr5	74068247	74068551	305	*	X674	69727	73998453	74068431	69979	-	0	overlapStart	0	Usp46
chr5	75044340	75044667	328	*	X675	74277	74997988	75044774	46787	-	0	inside	106	Chic2
chr5	75044747	75044758	12	*	X676	74277	74997988	75044774	46787	-	0	inside	15	Chic2
chr5	88675774	88676124	351	*	X677	231413	88659448	88676171	16724	-	0	inside	46	Grsf1
chr5	96997532	96998112	581	*	X679	140780	96997689	97091867	94179	+	0	overlapStart	0	Bmp2k
chr5	98185840	98186454	615	*	X680	102637492	98183121	98185984	2864	-	0	overlapStart	0	A730035I17Rik
chr5	105415664	105415712	49	*	X685	433926	105415775	105490074	74300	+	62	upstream	62	Lrrc8b
chr5	105415798	105416034	237	*	X686	433926	105415775	105490074	74300	+	0	inside	22	Lrrc8b
chr5	105699945	105700490	546	*	X687	231549	105699969	105832436	132468	+	0	overlapStart	0	Lrrc8d
chr5	110448029	110448433	405	*	X689	381668	110361754	110448602	86849	-	0	inside	168	Fbrsl1
chr5	110879661	110880030	370	*	X690	209683	110879803	111289780	409978	+	0	overlapStart	0	Ttc28
chr5	115011094	115011609	516	*	X691	74585	115011137	115098790	87654	+	0	overlapStart	0	Sppl3
chr5	115193618	115194105	488	*	X692	29867	115168689	115194381	25693	-	0	inside	275	Cabp1
chr5	115327132	115327482	351	*	X693	108014	115327177	115333080	5904	+	0	overlapStart	0	Srsf9
chr5	115429644	115429934	291	*	X694	17690	115429599	115455698	26100	+	0	inside	44	Msi1
chr5	115631778	115632346	569	*	X695	66123	115631049	115631816	768	-	0	overlapStart	0	1110006O24Rik
chr5	115631778	115632346	569	*	X695	77407	115631908	115647736	15829	+	0	overlapStart	0	Rab35
chr5	115731345	115731502	158	*	X696	75665	115648175	115731621	83447	-	0	inside	118	Bicdl1
chr5	115731756	115732520	765	*	X697	75665	115648175	115731621	83447	-	134	upstream	134	Bicdl1
chr5	117357260	117357535	276	*	X698	59043	117357304	117378601	21298	+	0	overlapStart	0	Wsb2
chr5	117413845	117414288	444	*	X699	333050	117414000	117775003	361004	+	0	overlapStart	0	Ksr2
chr5	118559926	118560204	279	*	X700	76199	118560679	118765438	204760	+	474	upstream	474	Med13l
chr5	118560319	118560936	618	*	X701	76199	118560679	118765438	204760	+	0	overlapStart	0	Med13l
chr5	122049779	122050277	499	*	X703	13048	121856366	122050102	193737	-	0	overlapStart	0	Cux2
chr5	122501630	122502249	620	*	X704	11938	122453513	122502225	48713	-	0	overlapStart	0	Atp2a2
chr5	122502384	122502387	4	*	X705	11938	122453513	122502225	48713	-	158	upstream	158	Atp2a2
chr5	124249264	124249920	657	*	X708	19679	124118690	124249760	131071	-	0	overlapStart	0	Pitpnm2
chr5	124861741	124862150	410	*	X711	215707	124834418	124862424	28007	-	0	inside	273	Ccdc92
chr5	124861741	124862150	410	*	X711	269704	124862691	124902693	40003	+	540	upstream	540	Zfp664
chr5	125178783	125179183	401	*	X712	20602	125017153	125179219	162067	-	0	inside	35	Ncor2
chr5	129942216	129942508	293	*	X713	69568	129941970	129986692	44723	+	0	inside	245	Vkorc1l1
chr5	139150434	139150848	415	*	X716	19085	139017306	139150001	132696	-	432	upstream	432	Prkar1b
chr5	139150434	139150848	415	*	X716	433956	139150223	139186510	36288	+	0	inside	210	Dnaaf5
chr5	139325091	139325657	567	*	X717	231821	139271876	139325622	53747	-	0	overlapStart	0	Adap1
chr5	140830113	140830406	294	*	X719	14673	140758408	140830431	72024	-	0	inside	24	Gna12
chr5	142401421	142401915	495	*	X721	17425	142401497	142462011	60515	+	0	overlapStart	0	Foxk1
chr5	143732160	143732295	136	*	X722	76800	143710325	143732280	21956	-	0	overlapStart	0	Usp42
chr5	144965453	144965996	544	*	X723	75788	144876495	144965847	89353	-	0	overlapStart	0	Smurf1
chr5	146231334	146231698	365	*	X724	264064	146231230	146302874	71645	+	0	inside	103	Cdk8
chr5	146794449	146794835	387	*	X725	22217	146734809	146795006	60198	-	0	inside	170	Usp12
chr5	147430444	147430877	434	*	X726	72587	147430161	147548502	118342	+	0	inside	282	Pan3
chr6	7844800	7845135	336	*	X730	94192	7844842	7875687	30846	+	0	overlapStart	0	C1galt1
chr6	37299619	37299980	362	*	X734	320127	36846022	37300184	454163	-	0	inside	203	Dgki
chr6	38253947	38254325	379	*	X735	330286	38123174	38254009	130836	-	0	overlapStart	0	D630045J12Rik
chr6	38434221	38434727	507	*	X736	320538	38433950	38524825	90876	+	0	inside	270	Ubn2
chr6	38875782	38876495	714	*	X737	15258	38694390	38876165	181776	-	0	overlapStart	0	Hipk2
chr6	39206544	39206759	216	*	X738	338523	39136623	39206789	70167	-	0	inside	29	Kdm7a
chr6	39206855	39206857	3	*	X739	338523	39136623	39206789	70167	-	65	upstream	65	Kdm7a
chr6	48047747	48048847	1101	*	X740	72306	48024188	48048911	24724	-	0	inside	63	Zfp777
chr6	50110213	50110577	365	*	X741	56524	50110241	50198939	88699	+	0	overlapStart	0	Mpp6
chr6	71707699	71708016	318	*	X742	52250	71707561	71810710	103150	+	0	inside	137	Reep1
chr6	72899126	72900278	1153	*	X743	74287	72841114	72899979	58866	-	0	overlapStart	0	Kcmf1
chr6	85374490	85374659	170	*	X745	52055	85334962	85374634	39673	-	0	overlapStart	0	Rab11fip5
chr6	85374806	85374821	16	*	X746	52055	85334962	85374634	39673	-	171	upstream	171	Rab11fip5
chr6	86525881	86526188	308	*	X747	23983	86524492	86526321	1830	-	0	inside	132	Pcbp1
chr6	86525881	86526188	308	*	X747	72012	86526247	86582036	55790	+	58	upstream	58	1600020E01Rik
chr6	89362023	89362620	598	*	X749	18844	89316314	89362620	46307	-	0	inside	0	Plxna1
chr6	90988054	90988552	499	*	X750	232227	90656088	90988685	332598	-	0	inside	132	Iqsec1
chr6	92091214	92091937	724	*	X751	22026	92091390	92174294	82905	+	0	overlapStart	0	Nr2c2
chr6	100287433	100287480	48	*	X752	56353	100228565	100287485	58921	-	0	inside	4	Rybp
chr6	100287624	100287825	202	*	X753	56353	100228565	100287485	58921	-	138	upstream	138	Rybp
chr6	115994567	115994906	340	*	X754	67784	115954811	115995005	40195	-	0	inside	98	Plxnd1
chr6	115995058	115995090	33	*	X755	67784	115954811	115995005	40195	-	52	upstream	52	Plxnd1
chr6	119479312	119479917	606	*	X756	101358	119479668	119482630	2963	+	0	overlapStart	0	Fbxl14
chr6	120493076	120493792	717	*	X757	94047	120488939	120493807	4869	-	0	inside	14	Tmem121b
chr6	120666039	120666209	171	*	X758	330409	120666369	120771190	104822	+	159	upstream	159	Cecr2
chr6	120666288	120667130	843	*	X759	330409	120666369	120771190	104822	+	0	overlapStart	0	Cecr2
chr6	124756335	124756720	386	*	X760	13498	124739189	124756524	17336	-	0	overlapStart	0	Atn1
chr6	131388137	131388463	327	*	X762	56449	131364855	131388476	23622	-	0	inside	12	Ybx3
chr6	134566474	134567084	611	*	X763	16974	134446476	134566965	120490	-	0	overlapStart	0	Lrp6
chr6	148444005	148444321	317	*	X770	387314	148232430	148444389	211960	-	0	inside	67	Tmtc1
